"country","year","dname","median","mima5_dhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United Kingdom",2006,"uk06",25133.9204510503,25120.9303503311,12560.4651751656,"mima5_dhi",0.106346258288306,59530,59733103,6352392
"United Kingdom",2007,"uk07",25667.4626514917,25286.9872779395,12643.4936389698,"mima5_dhi",0.103432966983958,56926,60181441,6224745
"United Kingdom",2008,"uk08",25598.372128073,25372.3971851258,12686.1985925629,"mima5_dhi",0.0978502802849228,57276,60631160,5932776
"United Kingdom",2009,"uk09",25273.5135073578,25273.567586363,12636.7837931815,"mima5_dhi",0.0939054734716397,57380,61084778,5736195
"United Kingdom",2010,"uk10",25188.7171876561,25087.0585495048,12543.5292747524,"mima5_dhi",0.0872865365765907,57928,61559551,5373320
"United Kingdom",2011,"uk11",24639.7724572364,24951.2176372435,12475.6088186218,"mima5_dhi",0.0836489807335757,47744,62439661,5223014
"United Kingdom",2012,"uk12",24734.917467201,25004.4866363587,12502.2433181793,"mima5_dhi",0.0871178962481089,46420,62841669,5474634
"United Kingdom",2013,"uk13",24919.1675667665,25139.6860329233,12569.8430164616,"mima5_dhi",0.0853034044510835,46166,62856741,5361894
"United Kingdom",2014,"uk14",25539.8585029334,25461.4030141014,12730.7015070507,"mima5_dhi",0.0864359159489989,44787,63413165,5481175
"United Kingdom",2015,"uk15",25864.714170479,25819.4836703897,12909.7418351948,"mima5_dhi",0.0901171000292425,43678,63907072,5759120
"United Kingdom",2016,"uk16",26248.357363127,26146.3704717147,13073.1852358573,"mima5_dhi",0.0913207734030228,44145,64421005,5882976
"United Kingdom",2017,"uk17",26525.3207486425,26552.8501870886,13276.4250935443,"mima5_dhi",0.0978926801497803,42847,64641350,6327915
"United Kingdom",2018,"uk18",26553.6015733915,26768.6639895351,13384.3319947676,"mima5_dhi",0.0972747173724488,43075,65464513,6368042
"United Kingdom",2019,"uk19",27572.257079803,27067.7905373992,13533.8952686996,"mima5_dhi",0.0987684083256831,43314,65614604,6480650
"United Kingdom",2020,"uk20",26943.7831827116,26943.7831827116,13471.8915913558,"mima5_dhi",0.0892109042045771,21254,66004521,5888323
"United Kingdom",2021,"uk21",27743.9901024472,27743.9901024472,13871.9950512236,"mima5_dhi",0.0973269751708929,34590,66332792,6455970
"United States",1985,"us85",29356.241390998,29356.241390998,14678.120695499,"mima5_dhi",0.177159021608966,157605,236748983.14,41942218.22
"United States",1986,"us86",30392.7410989889,30392.7410989889,15196.3705494945,"mima5_dhi",0.178799446647205,155407,238788969.88,42695335.68
"United States",1987,"us87",31573.1198573986,30906.4260843606,15453.2130421803,"mima5_dhi",0.173153528435929,155980,241186892.16,41762361.39
"United States",1988,"us88",31424.1697077469,31194.3017710794,15597.1508855397,"mima5_dhi",0.172759777344506,144687,243684940.83,42098956.12
"United States",1989,"us89",31785.8583666705,31215.1050312516,15607.5525156258,"mima5_dhi",0.169905323936639,158079,246191485.71,41829244.13
"United States",1990,"us90",30795.6198245921,30973.9427394085,15486.9713697042,"mima5_dhi",0.172543715884128,158477,248885794.42,42943679.8
"United States",1991,"us91",30496.7573998501,30676.8421858026,15338.4210929013,"mima5_dhi",0.175626041088739,155783,251415659.98,44155137.03
"United States",1992,"us92",30367.3083981827,30382.7088393687,15191.3544196843,"mima5_dhi",0.175560518219283,155197,254241069.42,44634693.9
"United States",1993,"us93",29938.6669397175,30394.975913369,15197.4879566845,"mima5_dhi",0.180165794267324,150943,259752595.16,46798532.62
"United States",1994,"us94",30315.1916345011,30544.3329100067,15272.1664550033,"mima5_dhi",0.170325987325498,149242,261300572.56,44506278.01
"United States",1995,"us95",30856.9551945939,30843.4713749553,15421.7356874777,"mima5_dhi",0.162817220486775,130081,263387262.12,42883981.93
"United States",1996,"us96",31243.5423830383,31495.2820282163,15747.6410141082,"mima5_dhi",0.169090345784434,131397,265695604.51,44926561.64
"United States",1997,"us97",31863.0007229261,32233.410750519,16116.7053752595,"mima5_dhi",0.169549239604844,131216,268119792.02,45459506.86
"United States",1998,"us98",33197.7202060223,32886.5437759057,16443.2718879529,"mima5_dhi",0.165739157956736,131874,270699759.81,44865550.25
"United States",1999,"us99",34005.8352460142,33418.4862377803,16709.2431188902,"mima5_dhi",0.163049729724921,133260,273056732.6,44521826.45
"United States",2000,"us00",34122.6203215276,33873.9378920533,16936.9689460266,"mima5_dhi",0.163780935897571,217670,278557010.68,45622327.91
"United States",2001,"us01",33903.2546924113,34110.1996285105,17055.0998142553,"mima5_dhi",0.170393772311721,216658,281118677.99,47900872.01
"United States",2002,"us02",34140.2589942908,34108.2898105879,17054.144905294,"mima5_dhi",0.172830196217942,215856,284951904.92,49248293.64
"United States",2003,"us03",34379.0288883086,34099.2213097487,17049.6106548743,"mima5_dhi",0.172347247121323,212723,287379141.92,49529003.99
"United States",2004,"us04",33996.2861564012,34164.5715619985,17082.2857809993,"mima5_dhi",0.168512221644824,210128,290242962.87,48909486.49
"United States",2005,"us05",34077.2778173315,34240.3138143657,17120.1569071828,"mima5_dhi",0.169537987623481,208023,292907883.16,49659013.07
"United States",2006,"us06",34230.0059536606,34066.7337227187,17033.3668613594,"mima5_dhi",0.165938982161412,206043,295695740.09,49067450.14
"United States",2007,"us07",34518.9702561264,34021.3272537779,17010.6636268889,"mima5_dhi",0.169636188208747,205795,297948890.35,50542914.04
"United States",2008,"us08",33511.1284300741,33875.1783017278,16937.5891508639,"mima5_dhi",0.172995924328902,207322,300319822.34,51954105.26
"United States",2009,"us09",33769.2538116969,33628.0552469362,16814.0276234681,"mima5_dhi",0.151912484462416,209078,303044871.94,46036299.4
"United States",2010,"us10",33346.533057081,33369.7691902674,16684.8845951337,"mima5_dhi",0.161892510436539,204342,304948220.13,49368832.91
"United States",2011,"us11",32994.3906797024,33287.3975316643,16643.6987658322,"mima5_dhi",0.162244223360334,200774,307673748.97,49918288.45
