"country","year","dname","median","mima5_mhi","pl","pl_origin","pr","n_obs","total_pop","n_poor"
"United States",2008,"us08",34857.9494323926,34829.6693121499,17414.8346560749,"mima5_mhi",0.273857219177789,207322,300319822.34,82244751.41
"United States",2009,"us09",33222.9176251681,34053.6168753413,17026.8084376707,"mima5_mhi",0.288617334984362,209078,303044871.94,87464003.32
"United States",2010,"us10",32852.2776215995,33235.1737565287,16617.5868782643,"mima5_mhi",0.291719111074256,204342,304948220.13,88959223.7
"United States",2011,"us11",32553.6009634087,32894.3431758735,16447.1715879368,"mima5_mhi",0.292391038368281,200774,307673748.97,89961046.94
"United States",2012,"us12",32689.1231400744,33062.5978825108,16531.2989412554,"mima5_mhi",0.29189854411273,202013,310031353,90497700.57
"United States",2013,"us13",33153.796529117,33670.6318835554,16835.3159417777,"mima5_mhi",0.288047358549768,139060,312489871.26,90011881.99
"United States",2014,"us14",34064.1911583542,34564.3676506621,17282.183825331,"mima5_mhi",0.288334289414961,198479,315109775.2,90856953.12
"United States",2015,"us15",35892.4476268228,35532.0965221123,17766.0482610562,"mima5_mhi",0.280502047377231,184980,317786409.88,89139738.6
"United States",2016,"us16",37022.279798942,36589.6897597602,18294.8448798801,"mima5_mhi",0.278145793985498,185412,319310408.32,88814847.05
"United States",2017,"us17",37527.7674973257,37949.4000481453,18974.7000240727,"mima5_mhi",0.281316439211097,179596,322116440.49,90616650.05
"United States",2018,"us18",38441.7627173564,38471.3839523781,19235.6919761891,"mima5_mhi",0.273126895365735,179645,323344392.07,88314049.94
"United States",2019,"us19",40862.7426002798,39027.9620382105,19513.9810191052,"mima5_mhi",0.260405304913251,157571,324365876.41,84466594.95
"United States",2020,"us20",38502.3671479869,38502.3671479869,19251.1835739934,"mima5_mhi",0.284853856926376,163127,325255375.58,92650248.22
"United States",2021,"us21",39805.1702281036,39805.1702281036,19902.5851140518,"mima5_mhi",0.279406444707957,152341,327724724.23,91568400.04
